time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz,talus_r_X,talus_r_Y,talus_r_Z,talus_r_Ox,talus_r_Oy,talus_r_Oz
0.059 sec,-322.092,1167.044,100.231,8.738,-1.016,226.366,-2.259,-0.715,2.428,-0,-0,0,12.128,-10.833,184.996,-24.172,-0.326,0.321,0.367,5.479,7.987,-14.115,-0.336,0.054,0.36,-4.753,-0.307,-0.295,-0.389,0.066,0.351,3.912,6.08,-2.047
0.06 sec,-320.056,1165.475,87.662,8.69,-1.035,226.368,-2.256,-0.722,2.483,-0,-0,0,12.311,-10.854,181.273,-19.153,-0.325,0.32,0.367,5.522,8.006,-14.348,-0.336,0.054,0.36,-4.761,-0.32,-0.342,-0.389,0.066,0.351,3.927,6.073,-2.096
0.061 sec,-318.291,1163.29,80.928,8.615,-1.053,226.398,-2.251,-0.727,2.533,-0,-0,0,12.479,-10.87,177.636,-15.739,-0.324,0.32,0.367,5.563,8.021,-14.56,-0.336,0.054,0.36,-4.764,-0.329,-0.385,-0.389,0.066,0.351,3.942,6.067,-2.141
0.062 sec,-316.555,1160.307,76.162,8.52,-1.088,226.424,-2.245,-0.733,2.587,-0,-0,0,12.655,-10.885,173.677,-12.932,-0.323,0.32,0.367,5.606,8.037,-14.782,-0.336,0.054,0.36,-4.765,-0.339,-0.43,-0.389,0.066,0.351,3.957,6.059,-2.187
0.063 sec,-316.289,1150.722,73.921,8.38,-1.262,224.777,-2.239,-0.739,2.636,-0,-0,0,12.814,-10.896,170.712,-10.583,-0.322,0.32,0.367,5.645,8.05,-14.983,-0.336,0.054,0.36,-4.764,-0.347,-0.471,-0.389,0.066,0.351,3.972,6.05,-2.229
0.064 sec,-313.538,1144.405,71.314,8.264,-1.411,223.788,-2.231,-0.745,2.696,-0,-0,0,13.005,-10.906,166.982,-8.066,-0.321,0.32,0.367,5.694,8.065,-15.222,-0.336,0.054,0.36,-4.759,-0.357,-0.52,-0.389,0.067,0.351,3.991,6.04,-2.278
0.065 sec,-311.431,1142.138,68.493,8.188,-1.475,223.931,-2.223,-0.751,2.748,-0,-0,0,13.168,-10.913,163.279,-6.475,-0.32,0.32,0.367,5.737,8.076,-15.428,-0.336,0.054,0.36,-4.752,-0.365,-0.561,-0.389,0.067,0.351,4.008,6.03,-2.32
0.066 sec,-309.705,1139.027,65.873,8.108,-1.538,224.013,-2.215,-0.757,2.798,-0,-0,0,13.325,-10.919,159.632,-5.329,-0.319,0.32,0.367,5.778,8.087,-15.624,-0.336,0.054,0.36,-4.744,-0.372,-0.602,-0.389,0.067,0.351,4.025,6.019,-2.36
0.067 sec,-308.11,1135.066,63.354,8.02,-1.615,224.038,-2.206,-0.762,2.849,-0,-0,0,13.484,-10.924,155.821,-4.53,-0.318,0.32,0.367,5.822,8.097,-15.824,-0.335,0.054,0.36,-4.734,-0.379,-0.643,-0.389,0.067,0.351,4.043,6.009,-2.401
0.068 sec,-306.641,1130.71,60.968,7.922,-1.681,224.024,-2.197,-0.768,2.901,-0,-0,0,13.641,-10.928,151.963,-4.092,-0.317,0.319,0.367,5.866,8.106,-16.022,-0.335,0.055,0.36,-4.723,-0.387,-0.684,-0.389,0.067,0.351,4.062,5.998,-2.441
0.069 sec,-305.268,1126.085,58.766,7.819,-1.744,223.969,-2.188,-0.774,2.951,-0,-0,0,13.791,-10.932,148.163,-4.006,-0.316,0.319,0.367,5.91,8.115,-16.212,-0.335,0.055,0.36,-4.712,-0.393,-0.724,-0.389,0.067,0.351,4.081,5.987,-2.481
0.07 sec,-304.036,1120.876,56.643,7.713,-1.809,223.868,-2.18,-0.78,3.001,-0,-0,0,13.94,-10.936,144.3,-4.227,-0.315,0.319,0.367,5.954,8.124,-16.4,-0.335,0.055,0.36,-4.699,-0.4,-0.765,-0.389,0.067,0.351,4.101,5.976,-2.521
0.071 sec,-303.015,1115.806,54.848,7.612,-1.876,223.746,-2.172,-0.786,3.046,-0,-0,0,14.074,-10.941,140.737,-4.692,-0.314,0.319,0.367,5.994,8.132,-16.571,-0.335,0.055,0.36,-4.688,-0.406,-0.802,-0.389,0.067,0.351,4.12,5.967,-2.558
0.072 sec,-301.999,1110.062,53.028,7.504,-1.947,223.581,-2.164,-0.792,3.094,-0,-0,0,14.215,-10.946,136.897,-5.454,-0.313,0.319,0.367,6.039,8.14,-16.752,-0.335,0.055,0.36,-4.675,-0.413,-0.842,-0.388,0.067,0.351,4.142,5.958,-2.597
0.073 sec,-301.082,1104.172,51.377,7.398,-2.022,223.386,-2.156,-0.798,3.141,-0,-0,0,14.35,-10.952,133.127,-6.433,-0.313,0.319,0.367,6.082,8.148,-16.926,-0.335,0.055,0.36,-4.662,-0.419,-0.881,-0.388,0.068,0.351,4.163,5.949,-2.636
0.074 sec,-300.209,1098.107,49.859,7.291,-2.102,223.164,-2.149,-0.805,3.187,-0,-0,0,14.484,-10.959,129.317,-7.649,-0.312,0.319,0.367,6.127,8.157,-17.099,-0.335,0.055,0.36,-4.65,-0.425,-0.92,-0.388,0.068,0.351,4.186,5.941,-2.676
0.075 sec,-299.317,1092.322,48.557,7.188,-2.187,222.932,-2.143,-0.811,3.232,-0,-0,0,14.612,-10.967,125.579,-9.036,-0.311,0.319,0.367,6.171,8.166,-17.267,-0.335,0.055,0.36,-4.638,-0.431,-0.959,-0.388,0.068,0.351,4.209,5.933,-2.716
0.076 sec,-298.39,1086.549,47.361,7.087,-2.27,222.674,-2.137,-0.818,3.276,-0,-0,0,14.736,-10.977,121.889,-10.583,-0.31,0.319,0.367,6.214,8.175,-17.43,-0.335,0.055,0.36,-4.627,-0.438,-0.997,-0.388,0.068,0.351,4.232,5.927,-2.755
0.077 sec,-297.493,1080.639,46.318,6.986,-2.37,222.376,-2.132,-0.824,3.319,-0,-0,0,14.856,-10.988,118.214,-12.278,-0.309,0.318,0.367,6.258,8.184,-17.59,-0.335,0.055,0.36,-4.617,-0.444,-1.036,-0.388,0.068,0.351,4.256,5.921,-2.794
0.078 sec,-296.667,1074.251,45.746,6.883,-2.552,221.921,-2.128,-0.831,3.359,-0,-0,0,14.967,-11.001,114.815,-13.95,-0.309,0.318,0.367,6.3,8.193,-17.738,-0.335,0.055,0.36,-4.608,-0.449,-1.072,-0.388,0.068,0.351,4.279,5.917,-2.832
